,currency,usd
0,AED,0.27
1,AFN,0.013
2,ALL,0.0098
3,AMD,0.0019
4,ANG,0.56
5,AOA,0.0015
6,ARS,0.011
7,AZN,0.59
8,BAM,0.62
9,BBD,0.5
10,BDT,0.012
11,BHD,2.65
12,BMD,1.0
13,BND,0.75
14,BOB,0.14
15,BTN,0.014
16,BWP,0.092
17,BYN,0.38
18,BZD,0.5
19,CDF,0.0005
20,CLP,0.0014
21,COP,0.00028
22,CRC,0.0016
23,CUP,0.042
24,DJF,0.0056
25,DOP,0.017
26,DZD,0.0075
27,EGP,0.064
28,ETB,0.025
29,FJD,0.49
30,FKP,1.38133
31,GEL,0.3
32,GHS,0.17
33,GIP,1.36831
34,GNF,9.7e-05
35,GTQ,0.13
36,GYD,0.0048
37,HNL,0.041
38,HTG,0.014
39,IMP,1.3838
40,IQD,0.00069
41,IRR,2.4e-05
42,JMD,0.0067
43,JOD,1.41
44,KES,0.0091
45,KGS,0.012
46,KHR,0.00025
47,KWD,3.31
48,KYD,1.2
49,KZT,0.0024
50,LAK,0.00011
51,LBP,0.00066
52,LKR,0.0051
53,LSL,0.068
54,MAD,0.11
55,MDL,0.058
56,MGA,0.00026
57,MKD,0.02
58,MMK,0.00071
59,MNT,0.000350756
60,MRU,0.028
61,MUR,0.025
62,MVR,0.065
63,MWK,0.0013
64,NAD,0.067
65,NGN,0.0026
66,NIO,0.029
67,NPR,0.0086
68,OMR,2.6
69,PEN,0.27
70,PKR,0.0063
71,PYG,0.00015
72,QAR,0.27
73,RSD,0.01
74,RWF,0.001
75,SAR,0.27
76,SDG,0.018
77,SYP,0.00195017
78,SZL,0.068
79,TND,0.37
80,TTD,0.15
81,TWD,0.036
82,TZS,0.00043
83,UAH,0.036
84,UGX,0.00027
85,UYU,0.023
86,UZS,9.5e-05
87,VES,5.60243e-07
88,VND,4.4e-05
89,WST,0.3962
90,XAF,0.0018
91,XCD,0.37
92,XOF,0.0018
93,XPF,0.01
94,ZMW,0.046
0,AUD,0.7047722736345491
1,HUF,0.0031815203145478376
2,MTL,3.429070580013976
3,NOK,0.10485206248650206
4,SGD,0.7326919449160536
5,USD,1.0
6,PLN,0.25320526750402017
7,TRL,7.418037250844136e-07
8,MXN,0.04711171849413934
9,CAD,0.753394542868227
10,BRL,0.1741287584434216
11,NZD,0.6633646456020496
12,EUR,1.1652
13,RON,0.23938858528166987
14,CZK,0.04294718219011463
15,LTL,0.35162766450417055
16,JPY,0.009556302796686622
17,MYR,0.24053010754907833
18,KRW,0.000882319534154671
19,THB,0.03214433501613837
20,TRY,0.1184965219867388
21,CYP,2.5152321818498686
22,HRK,0.15393354911156618
23,HKD,0.12899797402769936
24,GBP,1.2939047005652224
25,DKK,0.1564972130817272
26,INR,0.013430848764631638
27,BGN,0.5957664382861234
28,SKK,0.04619597689703246
29,SIT,0.005495743615423134
30,ROL,3.3560921454343604e-05
31,ILS,0.2936417933015801
32,EEK,0.08539874477522275
33,PHP,0.020657010654705977
34,CNY,0.14945742797773276
35,ZAR,0.0616599284550092
36,SEK,0.11244390832328106
37,RUB,0.01242946290468825
38,IDR,6.828082569871818e-05
39,ISK,0.007126605504587156
40,LVL,1.9622825140437448
41,CHF,1.0894810659186536
